3-flouroaniline, 100 micron spacers  Temp. [K]=1.5200e+02
Fixed value(s) :  Temp. [K] = 1.520e+02
 Freq. [Hz]	 Eps'    	 Eps''   
 10000e+03	 26488e-04	 39225e-06
 66667e+02	 26371e-04	 23847e-06
 44444e+02	 26294e-04	 17631e-06
 29630e+02	 26265e-04	 18473e-06
 19753e+02	 26268e-04	 19719e-06
 13169e+02	 26308e-04	 21358e-06
 87791e+01	 26365e-04	 22789e-06
 58528e+01	 26420e-04	 23895e-06
 39018e+01	 26484e-04	 25315e-06
 26012e+01	 26547e-04	 26423e-06
 17342e+01	 26622e-04	 27330e-06
 11561e+01	 26693e-04	 27719e-06
 77073e+00	 26765e-04	 28391e-06
 51382e+00	 26840e-04	 28977e-06
 34255e+00	 26917e-04	 29399e-06
 22837e+00	 26995e-04	 29681e-06
 15224e+00	 27073e-04	 29795e-06
 10150e+00	 27152e-04	 29734e-06
 67664e-01	 27230e-04	 29583e-06
 45109e-01	 27306e-04	 29249e-06
 30073e-01	 27382e-04	 28801e-06
 20049e-01	 27457e-04	 28249e-06
 13366e-01	 27530e-04	 27640e-06
 89105e-02	 27601e-04	 26967e-06
 59403e-02	 27670e-04	 26249e-06
 39602e-02	 27736e-04	 25535e-06
 26401e-02	 27800e-04	 24875e-06
 17601e-02	 27862e-04	 24245e-06
 11734e-02	 27922e-04	 23742e-06
 78226e-03	 27981e-04	 23322e-06
 52151e-03	 28038e-04	 23015e-06
 34767e-03	 28095e-04	 22996e-06
 23178e-03	 28151e-04	 23115e-06
 15452e-03	 28208e-04	 23508e-06
 10301e-03	 28266e-04	 24092e-06
 68676e-04	 28325e-04	 24836e-06
 45784e-04	 28386e-04	 26080e-06
 30523e-04	 28451e-04	 27455e-06
 20348e-04	 28519e-04	 29062e-06
 13566e-04	 28591e-04	 31260e-06
 90438e-05	 28667e-04	 33644e-06
 60292e-05	 28751e-04	 36543e-06
 40195e-05	 28844e-04	 40010e-06
 26796e-05	 28945e-04	 43743e-06
 17864e-05	 29056e-04	 48325e-06
 11909e-05	 29175e-04	 52972e-06
 79397e-06	 29303e-04	 58799e-06
 52931e-06	 29448e-04	 64503e-06
 35287e-06	 29615e-04	 71176e-06
 23525e-06	 29783e-04	 79058e-06
 15683e-06	 29968e-04	 87263e-06
 10000e-06	 30204e-04	 97224e-06
